date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2026-04-14,Supplier_296,4,2,4,3,0,42,0,0,2294,3.02,Low
2025-12-05,Supplier_245,0,1,5,2,2,46,0,0,4617,3.72,Medium
2025-11-10,Supplier_117,0,1,10,3,0,99,2,0,3628,4.71,High
2026-01-04,Supplier_136,3,2,1,2,2,88,1,1,2638,2.45,Low
2025-06-16,Supplier_391,4,0,5,2,0,94,0,0,2225,2.97,Low
2026-02-22,Supplier_248,2,3,4,1,2,55,0,1,3171,3.3,Low
2025-12-19,Supplier_125,2,1,1,0,2,20,0,1,944,2.18,Low
2025-12-04,Supplier_23,0,0,2,2,0,85,0,0,2811,2.96,Low
2025-11-29,Supplier_27,2,2,5,0,2,48,1,1,4684,3.28,Medium
2025-12-31,Supplier_210,3,0,4,0,2,50,1,1,2550,2.63,Medium
2025-05-07,Supplier_266,4,1,7,0,2,98,0,1,3436,3.48,Medium
2025-09-27,Supplier_343,4,1,12,1,0,80,2,1,2469,4.97,Medium
2025-09-07,Supplier_339,0,3,1,1,0,59,2,1,3689,2.04,Low
2025-08-14,Supplier_411,2,0,1,2,0,54,1,1,1873,2.06,Low
2026-04-11,Supplier_497,0,3,2,3,0,16,1,1,2758,2.89,Low
2025-11-19,Supplier_322,1,3,3,3,2,88,1,0,4643,2.83,Low
2025-08-19,Supplier_322,4,0,3,3,1,90,1,1,3568,2.39,Low
2025-09-02,Supplier_90,3,1,12,2,0,46,1,1,2910,5.12,High
2026-01-07,Supplier_193,4,2,8,0,0,98,0,1,4926,4.42,Medium
2025-10-12,Supplier_417,2,1,2,3,1,49,1,1,1681,2.07,Medium
2026-02-13,Supplier_167,2,2,9,3,2,88,2,0,2747,4.72,High
2025-11-06,Supplier_289,3,2,12,3,1,50,0,0,2681,5.17,High
2025-11-04,Supplier_472,2,3,11,3,2,61,2,1,3713,5.04,High
2026-03-04,Supplier_158,4,0,2,3,2,92,1,0,2716,2.03,Medium
2026-03-28,Supplier_96,0,1,9,0,2,24,1,1,1276,4.46,Low
2026-01-31,Supplier_18,3,0,10,2,0,26,2,0,2420,5.0,High
2026-03-06,Supplier_38,3,0,11,1,1,72,0,1,2253,5.09,Low
2025-11-11,Supplier_464,4,2,10,0,0,99,2,1,914,4.28,Medium
2025-05-31,Supplier_3,0,2,5,3,1,86,2,0,534,3.68,Medium
2026-03-28,Supplier_171,1,0,4,2,2,74,1,0,1942,3.24,Low
2025-05-03,Supplier_466,3,0,3,2,1,90,0,0,2771,2.62,Medium
2025-06-22,Supplier_114,3,0,12,1,0,61,2,0,671,5.31,Medium
2025-09-07,Supplier_356,1,2,12,0,1,42,0,0,1441,4.95,Medium
2025-05-23,Supplier_111,3,0,1,0,1,24,2,0,4205,2.1,Medium
2025-08-06,Supplier_228,0,3,10,0,2,61,0,0,1861,4.84,Medium
2025-06-08,Supplier_459,2,3,3,3,0,23,0,1,3029,2.38,Medium
