date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-01-01,UPS,0,3,2,0,0,1343,0,0,52363,4.6,Low
2025-01-02,Tata Steel,3,0,0,0,0,2667,0,0,11539,3.84,Low
2025-01-03,BASF,0,3,1,0,0,4828,0,0,164742,3.73,Low
2025-01-04,Unilever,0,0,0,0,0,2751,0,0,210953,3.91,Low
2025-01-05,Tata Steel,3,2,0,0,0,4638,0,0,230592,3.68,Low
2025-01-06,Blue Dart,3,0,2,0,0,2586,0,0,76345,2.09,Low
2025-01-07,FedEx,0,2,3,0,0,3493,0,0,157883,2.48,Low
2025-01-08,CJ Logistics,0,0,1,0,0,1363,0,0,72307,4.54,Low
2025-01-09,Foxconn,0,1,1,0,0,3336,0,0,103768,2.69,Low
2025-01-10,Flex,4,3,0,0,0,1427,0,0,36945,4.86,Low
2025-01-11,LG Electronics,1,0,1,0,0,4054,0,0,134492,4.71,Low
2025-01-12,DP World,3,1,0,0,0,3212,0,0,125062,5.03,Low
2025-01-13,Sinotrans,0,1,2,0,0,3212,0,0,82077,3.59,Low
2025-01-14,DB Schenker,0,3,2,0,0,1405,0,0,41392,2.32,Low
2025-01-15,Maersk,3,0,3,0,0,3724,0,0,196501,3.8,Low
2025-01-16,Flex,2,2,2,0,0,4928,0,0,151193,4.21,Low
2025-01-17,DB Schenker,3,0,0,0,0,1483,0,0,80257,3.13,Low
2025-01-18,Cisco,3,2,2,0,0,4872,0,0,139084,4.85,Low
2025-01-19,Unilever,0,0,2,0,0,2931,0,0,60809,5.05,Low
2025-01-20,Samsung SDS,2,3,3,0,0,1430,0,0,211675,2.18,Low
2025-01-21,Infosys,1,3,3,0,0,2699,0,0,204118,2.66,Low
2025-01-22,Foxconn,2,0,2,0,0,738,0,0,36461,3.29,Low
2025-01-23,Intel,0,0,2,0,0,4882,0,0,200145,2.62,Low
2025-01-24,PepsiCo,1,0,1,0,0,3357,0,0,212514,5.42,Low
2025-01-25,BASF,0,3,1,0,0,4009,0,0,122263,4.96,Low
2025-01-26,FedEx,4,2,2,0,0,4444,0,0,116470,3.24,Low
2025-01-27,Blue Dart,0,3,3,0,0,1118,0,0,246575,4.42,Low
2025-01-28,Sinotrans,4,1,1,0,0,3902,0,0,206261,4.02,Low
2025-01-29,DP World,1,0,3,0,0,3134,0,0,138572,2.17,Low
2025-01-30,Tata Steel,1,0,3,0,0,3140,0,0,189545,5.27,Low
2025-01-31,C.H. Robinson,1,1,2,0,0,4459,0,0,166606,3.47,Low
2025-02-01,UPS,1,2,1,0,0,934,0,0,24661,3.32,Low
2025-02-02,Nippon Express,4,1,0,0,0,1970,0,0,34134,4.28,Low
2025-02-03,Ryder,3,3,3,0,0,2580,0,0,140196,2.19,Low
2025-02-04,Samsung SDS,0,3,0,0,0,4578,0,0,157294,5.18,Low
2025-02-05,XPO Logistics,4,3,2,0,0,1994,0,0,117737,5.28,Low
2025-02-06,Tata Steel,1,0,2,0,0,4552,0,0,219980,3.18,Low
2025-02-07,Samsung SDS,4,2,3,0,0,579,0,0,176629,2.04,Low
2025-02-08,PepsiCo,0,3,0,0,0,3049,0,0,146408,3.16,Low
2025-02-09,LG Electronics,3,0,2,0,0,4835,0,0,159523,2.77,Low
2025-02-10,Lenovo,1,1,2,0,0,3663,0,0,149475,3.96,Low
2025-02-11,Blue Dart,1,2,3,0,0,1866,0,0,121068,2.15,Low
2025-02-12,C.H. Robinson,4,2,3,0,0,508,0,0,116159,4.13,Low
2025-02-13,FedEx,4,3,2,0,0,1158,0,0,92738,3.57,Low
2025-02-14,3M,0,1,3,0,0,4312,0,0,131549,3.37,Low
2025-02-15,C.H. Robinson,2,2,1,0,0,4884,0,0,195203,3.6,Low
2025-02-16,Infosys,0,0,1,0,0,4593,0,0,152730,2.29,Low
2025-02-17,BASF,2,0,2,0,0,3536,0,0,54735,2.02,Low
2025-02-18,Toyota Tsusho,3,2,1,0,0,3038,0,0,214509,2.22,Low
2025-02-19,Nippon Express,1,2,0,0,0,2272,0,0,208838,3.91,Low
