date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-03-02,HP,3,1,7,1,1,2935,1,0,229794,2.34,Medium
2025-03-03,3M,2,1,8,1,1,1749,1,1,135623,4.74,Medium
2025-03-04,Tata Steel,2,1,6,1,1,4994,1,0,144107,3.28,Medium
2025-03-05,Dell,3,3,4,0,1,2787,1,0,106813,4.78,Medium
2025-03-06,Unilever,3,2,6,0,1,3938,1,1,236636,2.47,Medium
2025-03-07,Coca-Cola,3,3,5,1,1,792,1,1,95587,4.34,Medium
2025-03-08,Hyundai Mobis,1,0,5,1,1,1653,1,0,195187,4.85,Medium
2025-03-09,Hyundai Mobis,2,1,5,0,1,1725,1,1,154284,2.1,Medium
2025-03-10,Lenovo,1,3,4,1,1,692,1,0,14387,4.02,Medium
2025-03-11,CEVA Logistics,2,2,4,0,1,1576,1,0,112928,2.42,Medium
2025-03-12,Infosys,4,1,6,0,1,3967,1,1,66097,3.68,Medium
2025-03-13,Bosch,4,0,6,1,1,630,1,1,209767,3.3,Medium
2025-03-14,Toyota Tsusho,3,0,4,1,1,1326,1,1,89137,3.88,Medium
2025-03-15,Infosys,4,1,8,0,1,4791,1,1,35909,2.9,Medium
2025-03-16,Unilever,3,0,8,1,1,3046,1,1,235705,4.76,Medium
2025-03-17,Nippon Express,0,2,4,0,1,2769,1,0,33697,3.29,Medium
2025-03-18,Foxconn,4,1,6,1,1,4514,1,1,112082,3.07,Medium
2025-03-19,Nippon Express,4,3,5,1,1,4154,1,0,213745,2.17,Medium
2025-03-20,UPS,2,3,7,1,1,3527,1,1,39611,2.62,Medium
2025-03-21,Sinotrans,4,3,5,0,1,2001,1,1,221555,4.69,Medium
2025-03-22,Siemens,3,1,8,1,1,943,1,1,28503,5.5,Medium
2025-03-23,Blue Dart,3,1,6,0,1,4384,1,0,129804,4.07,Medium
2025-03-24,Infosys,1,2,8,0,1,3123,1,0,156280,2.88,Medium
2025-03-25,Samsung SDS,3,1,7,0,1,2684,1,1,127712,4.05,Medium
2025-03-26,UPS,2,3,5,1,1,4004,1,1,42940,3.52,Medium
2025-03-27,Samsung SDS,4,2,4,1,1,4381,1,0,40879,2.28,Medium
2025-03-28,Tata Steel,4,1,4,0,1,3014,1,0,81052,3.04,Medium
2025-03-29,Samsung SDS,3,1,8,0,1,4757,1,0,19124,5.41,Medium
2025-03-30,Cisco,1,0,5,0,1,1945,1,0,153804,3.13,Medium
2025-03-31,C.H. Robinson,1,0,6,1,1,3166,1,1,12584,3.5,Medium
2025-04-01,Samsung SDS,1,3,5,1,1,4695,1,0,120340,2.51,Medium
2025-04-02,Coca-Cola,0,0,6,0,1,3041,1,0,132745,4.99,Medium
2025-04-03,Blue Dart,1,0,7,0,1,4872,1,0,144641,4.83,Medium
2025-04-04,DHL Supply Chain,4,0,8,0,1,1449,1,0,184884,5.49,Medium
2025-04-05,Siemens,3,0,8,0,1,3758,1,0,150531,4.75,Medium
2025-04-06,PepsiCo,1,2,7,1,1,2031,1,0,237717,2.79,Medium
2025-04-07,Nestlé,1,0,6,1,1,537,1,1,198051,2.13,Medium
2025-04-08,Blue Dart,0,0,8,0,1,3389,1,0,208468,3.12,Medium
2025-04-09,HP,3,0,5,1,1,3655,1,1,34300,2.94,Medium
2025-04-10,Coca-Cola,4,3,4,1,1,3244,1,0,103032,5.17,Medium
2025-04-11,UPS,3,3,8,0,1,1822,1,1,188808,2.71,Medium
2025-04-12,Nippon Express,2,0,4,0,1,1565,1,1,128167,2.31,Medium
2025-04-13,Tata Steel,4,0,8,0,1,3589,1,0,86946,2.59,Medium
2025-04-14,Dell,3,1,6,0,1,2336,1,0,11961,2.44,Medium
2025-04-15,C.H. Robinson,1,2,6,1,1,2507,1,1,188945,3.06,Medium
2025-04-16,Wipro,1,2,8,1,1,4810,1,0,61541,3.88,Medium
2025-04-17,XPO Logistics,1,2,6,0,1,2056,1,1,224042,4.98,Medium
2025-04-18,Tata Steel,0,0,7,0,1,3898,1,1,60943,2.39,Medium
2025-04-19,Hitachi Transport,3,0,5,0,1,3265,1,0,238838,4.04,Medium
2025-04-20,C.H. Robinson,4,1,8,1,1,3670,1,0,212198,3.6,Medium
