date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-05-01,Cisco,3,1,12,3,2,810,2,1,75276,4.96,High
2025-05-02,Intel,1,0,13,3,2,1003,2,1,109741,4.73,High
2025-05-03,Hitachi Transport,0,2,17,2,2,2140,2,1,64442,2.78,High
2025-05-04,3M,0,2,16,2,2,2405,2,1,144483,2.38,High
2025-05-05,Amazon Logistics,2,3,20,3,2,1553,2,1,41716,4.56,High
2025-05-06,3M,1,2,13,3,2,556,2,1,109666,4.0,High
2025-05-07,Coca-Cola,1,3,16,2,2,3026,2,1,249226,5.11,High
2025-05-08,Tata Steel,0,3,18,2,2,1619,2,1,190563,3.23,High
2025-05-09,Nippon Express,3,3,13,3,2,4717,2,1,27054,4.55,High
2025-05-10,DP World,1,1,16,2,2,4754,2,1,242174,5.49,High
2025-05-11,Infosys,0,2,12,3,2,4320,2,1,247861,2.47,High
2025-05-12,Amazon Logistics,0,2,18,3,2,1173,2,1,58608,5.19,High
2025-05-13,XPO Logistics,3,3,17,3,2,1528,2,1,91474,4.59,High
2025-05-14,Lenovo,3,2,13,3,2,4741,2,1,211557,4.28,High
2025-05-15,CEVA Logistics,4,3,14,2,2,2181,2,1,195065,2.24,High
2025-05-16,XPO Logistics,2,3,20,2,2,3773,2,1,96811,3.67,High
2025-05-17,DB Schenker,4,1,15,3,2,4794,2,1,208301,4.47,High
2025-05-18,Infosys,1,1,15,3,2,3301,2,1,12996,2.97,High
2025-05-19,LG Electronics,4,2,16,3,2,2161,2,1,146876,3.43,High
2025-05-20,XPO Logistics,1,2,17,3,2,1781,2,1,109637,2.42,High
2025-05-21,Toyota Tsusho,2,0,20,2,2,4549,2,1,178429,3.61,High
2025-05-22,Hyundai Mobis,4,3,17,3,2,3074,2,1,162633,2.08,High
2025-05-23,Tata Steel,2,0,17,3,2,597,2,1,95804,2.78,High
2025-05-24,Flex,2,2,19,2,2,3290,2,1,204913,2.19,High
2025-05-25,Tata Steel,1,2,15,2,2,772,2,1,36613,4.36,High
2025-05-26,CJ Logistics,1,1,13,3,2,4299,2,1,85383,2.17,High
2025-05-27,PepsiCo,1,0,17,2,2,1328,2,1,216220,4.2,High
2025-05-28,Maersk,2,1,15,3,2,1000,2,1,133966,5.47,High
2025-05-29,Hyundai Mobis,4,3,14,2,2,3804,2,1,186640,3.48,High
2025-05-30,Coca-Cola,1,2,14,2,2,4426,2,1,209719,2.25,High
2025-05-31,Toyota Tsusho,3,1,20,3,2,2390,2,1,104743,5.15,High
2025-06-01,CJ Logistics,0,1,16,2,2,1414,2,1,186539,5.33,High
2025-06-02,Samsung SDS,1,2,12,2,2,2794,2,1,226174,2.17,High
2025-06-03,Nippon Express,3,3,12,2,2,2590,2,1,39138,4.06,High
2025-06-04,DB Schenker,0,2,12,3,2,780,2,1,124282,4.28,High
2025-06-05,Ryder,3,0,19,3,2,2873,2,1,164746,3.39,High
2025-06-06,DB Schenker,0,3,17,2,2,1414,2,1,192466,5.27,High
2025-06-07,Amazon Logistics,0,3,16,2,2,4844,2,1,20495,3.1,High
2025-06-08,Sinotrans,3,1,12,3,2,862,2,1,242978,4.23,High
2025-06-09,LG Electronics,3,1,14,2,2,1357,2,1,55396,4.82,High
2025-06-10,Coca-Cola,4,0,20,2,2,3395,2,1,138526,3.79,High
2025-06-11,PepsiCo,2,1,12,2,2,3997,2,1,173709,2.5,High
2025-06-12,Flex,0,3,13,3,2,1854,2,1,223449,4.17,High
2025-06-13,Blue Dart,4,3,13,3,2,3347,2,1,236517,2.59,High
2025-06-14,BASF,3,1,12,3,2,3298,2,1,60151,2.42,High
2025-06-15,Tata Steel,3,1,18,3,2,2752,2,1,130606,3.44,High
2025-06-16,Wipro,1,0,14,3,2,4480,2,1,164419,2.7,High
2025-06-17,Nestlé,2,1,16,2,2,1092,2,1,145308,2.16,High
2025-06-18,CJ Logistics,2,0,14,3,2,3063,2,1,162163,3.04,High
2025-06-19,Siemens,4,2,19,3,2,3236,2,1,14362,3.23,High
