date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-06-30,Sinotrans,1,0,6,2,1,3419,0,1,195745,2.96,Medium
2025-07-01,Nippon Express,2,2,13,0,0,3726,0,1,218903,4.66,Medium
2025-07-02,DP World,3,3,3,3,0,2150,1,0,32912,2.81,Low
2025-07-03,DB Schenker,1,1,16,3,0,4248,1,1,163348,2.53,Medium
2025-07-04,DHL Supply Chain,3,3,14,0,2,2530,2,0,217243,4.54,Medium
2025-07-05,Intel,3,0,20,0,2,4637,2,0,77591,4.85,Medium
2025-07-06,Hyundai Mobis,0,0,17,2,1,519,0,1,215427,4.86,Medium
2025-07-07,Nippon Express,1,0,3,3,0,1098,0,0,88139,3.42,Low
2025-07-08,Foxconn,2,1,9,1,2,3562,1,0,103383,4.26,Medium
2025-07-09,FedEx,1,1,19,1,0,3128,2,0,172369,2.96,Medium
2025-07-10,Lenovo,1,2,6,2,2,1736,2,0,191086,4.78,Medium
2025-07-11,Unilever,4,0,5,3,1,1536,1,0,199553,3.99,Low
2025-07-12,Tata Steel,1,0,20,2,0,1406,1,0,18527,3.24,Medium
2025-07-13,Maersk,4,1,20,0,1,2678,0,0,31817,3.33,Low
2025-07-14,Hyundai Mobis,3,2,8,3,1,4513,1,1,64803,3.55,Medium
2025-07-15,HP,4,1,0,3,1,2873,2,1,182700,2.04,Medium
2025-07-16,FedEx,0,1,19,0,1,3924,1,0,189658,4.96,Low
2025-07-17,Maersk,4,0,1,2,2,3652,0,1,145122,3.03,Medium
2025-07-18,PepsiCo,3,0,18,1,2,3830,1,0,220105,3.12,Medium
2025-07-19,Reliance Industries,1,0,19,0,0,904,1,1,169558,3.38,Medium
2025-07-20,CJ Logistics,0,2,17,3,0,2194,0,1,183060,2.38,Medium
2025-07-21,Toyota Tsusho,1,2,11,3,2,1224,1,1,202047,4.93,High
2025-07-22,LG Electronics,3,1,13,2,0,4105,0,0,69679,2.8,Medium
2025-07-23,FedEx,3,0,1,2,0,2727,2,0,55342,4.64,Low
2025-07-24,Hyundai Mobis,0,1,7,2,1,4032,2,1,164122,3.95,Medium
2025-07-25,Unilever,4,2,8,3,0,3848,1,0,242849,5.36,Low
2025-07-26,Sinotrans,3,0,4,3,0,1892,2,0,187378,5.13,Low
2025-07-27,Cisco,1,0,8,2,1,4316,0,0,123806,4.45,Low
2025-07-28,LG Electronics,2,3,20,1,0,3371,0,1,51954,3.46,Medium
2025-07-29,PepsiCo,1,3,4,3,0,4023,2,1,103466,2.32,Medium
2025-07-30,Blue Dart,1,0,12,1,1,3697,0,0,104720,5.21,Medium
2025-07-31,Wipro,2,0,9,0,2,3138,2,1,164288,5.15,Medium
2025-08-01,UPS,1,3,16,3,1,4440,2,0,241629,4.93,Medium
2025-08-02,Flex,0,1,4,3,0,1700,1,0,14539,4.75,Low
2025-08-03,3M,1,0,3,3,1,3720,2,1,139607,2.92,Medium
2025-08-04,Sinotrans,0,0,3,3,0,3031,2,0,153253,3.55,Low
2025-08-05,Blue Dart,0,0,14,2,1,2418,1,1,168288,5.3,Medium
2025-08-06,Unilever,0,0,4,3,0,1756,0,1,208818,4.19,Low
2025-08-07,BASF,3,0,9,0,2,2059,2,1,170602,3.65,Medium
2025-08-08,Hyundai Mobis,3,3,16,0,1,4009,2,0,19307,4.82,Medium
2025-08-09,Toyota Tsusho,4,0,18,1,0,1003,1,1,84881,2.82,Medium
2025-08-10,Bosch,4,0,20,0,2,4852,1,0,249346,3.65,Medium
2025-08-11,FedEx,4,3,13,0,0,4526,2,1,196970,4.57,Medium
2025-08-12,Sinotrans,0,1,12,1,1,2120,1,0,139617,3.85,Medium
2025-08-13,C.H. Robinson,0,1,3,0,2,2130,2,0,225152,3.86,Low
2025-08-14,Infosys,2,0,5,1,1,3050,0,0,130557,2.54,Low
2025-08-15,Bosch,2,0,4,0,0,1602,2,1,10154,3.04,Low
2025-08-16,Intel,3,2,18,1,0,4465,1,1,67805,5.41,Medium
2025-08-17,Dell,0,3,10,3,1,3261,0,1,98046,2.23,Medium
2025-08-18,XPO Logistics,0,2,5,2,2,3706,1,0,239264,3.25,Low
