date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-08-29,Blue Dart,2,1,2,0,0,4346,0,0,216744,4.89,Low
2025-08-30,Nippon Express,1,3,7,1,1,3736,1,0,181947,4.38,Medium
2025-08-31,Hyundai Mobis,4,2,15,2,2,2231,2,1,182780,3.92,High
2025-09-01,Nippon Express,3,1,2,0,0,3220,0,0,65320,3.06,Low
2025-09-02,Wipro,4,3,7,1,1,1030,1,0,204086,4.05,Medium
2025-09-03,DP World,1,1,15,2,2,861,2,1,149841,4.4,High
2025-09-04,Lenovo,1,1,2,0,0,953,0,0,164550,4.42,Low
2025-09-05,CJ Logistics,1,2,7,1,1,888,1,0,170921,4.89,Medium
2025-09-06,Flex,0,0,15,2,2,3666,2,1,61928,3.11,High
2025-09-07,Blue Dart,0,2,2,0,0,2219,0,0,38905,3.22,Low
2025-09-08,Coca-Cola,0,1,7,1,1,3124,1,0,180187,2.34,Medium
2025-09-09,XPO Logistics,2,2,15,2,2,4128,2,1,13584,2.42,High
2025-09-10,Maersk,3,0,2,0,0,2028,0,0,208935,4.94,Low
2025-09-11,PepsiCo,0,1,7,1,1,2186,1,0,56762,3.7,Medium
2025-09-12,FedEx,2,2,15,2,2,4461,2,1,38369,4.02,High
2025-09-13,XPO Logistics,0,3,2,0,0,2207,0,0,22755,2.94,Low
2025-09-14,Cisco,2,2,7,1,1,4096,1,0,131570,4.32,Medium
2025-09-15,Lenovo,0,2,15,2,2,3943,2,1,65956,2.07,High
2025-09-16,UPS,2,2,2,0,0,4884,0,0,185390,4.71,Low
2025-09-17,XPO Logistics,0,3,7,1,1,4886,1,0,18488,3.3,Medium
2025-09-18,Hyundai Mobis,4,0,15,2,2,2759,2,1,119770,2.09,High
2025-09-19,Nestlé,0,0,2,0,0,4947,0,0,142125,2.74,Low
2025-09-20,DHL Supply Chain,3,1,7,1,1,850,1,0,203176,2.44,Medium
2025-09-21,Tata Steel,1,2,15,2,2,784,2,1,33997,4.26,High
2025-09-22,PepsiCo,1,3,2,0,0,3499,0,0,23158,4.65,Low
2025-09-23,Maersk,1,1,7,1,1,2450,1,0,126925,4.1,Medium
2025-09-24,Dell,4,1,15,2,2,540,2,1,236139,3.91,High
2025-09-25,Maersk,2,1,2,0,0,4175,0,0,142952,2.71,Low
2025-09-26,Unilever,4,0,7,1,1,1116,1,0,176830,4.59,Medium
2025-09-27,Ryder,3,0,15,2,2,3078,2,1,86202,5.26,High
2025-09-28,Kuehne+Nagel,1,3,2,0,0,1632,0,0,104251,3.86,Low
2025-09-29,C.H. Robinson,1,2,7,1,1,2322,1,0,51911,5.35,Medium
2025-09-30,Intel,2,0,15,2,2,4988,2,1,17311,2.24,High
2025-10-01,Wipro,3,3,2,0,0,4247,0,0,121881,4.31,Low
2025-10-02,3M,4,2,7,1,1,1222,1,0,103353,4.13,Medium
2025-10-03,Samsung SDS,4,2,15,2,2,2012,2,1,173854,3.14,High
2025-10-04,FedEx,3,3,2,0,0,4662,0,0,220842,5.4,Low
2025-10-05,3M,2,1,7,1,1,3633,1,0,41806,2.33,Medium
2025-10-06,Nestlé,2,0,15,2,2,3254,2,1,121055,3.0,High
2025-10-07,CEVA Logistics,1,1,2,0,0,887,0,0,121383,5.08,Low
2025-10-08,DB Schenker,4,1,7,1,1,4589,1,0,113103,2.46,Medium
2025-10-09,Maersk,2,0,15,2,2,4733,2,1,104594,4.58,High
2025-10-10,PepsiCo,0,0,2,0,0,644,0,0,236210,4.57,Low
2025-10-11,Kuehne+Nagel,0,1,7,1,1,1141,1,0,152675,2.37,Medium
2025-10-12,FedEx,1,0,15,2,2,3021,2,1,191229,3.05,High
2025-10-13,Hitachi Transport,3,1,2,0,0,1892,0,0,109874,2.56,Low
2025-10-14,Amazon Logistics,2,0,7,1,1,4650,1,0,17583,2.07,Medium
2025-10-15,Unilever,2,1,15,2,2,1542,2,1,149304,4.4,High
2025-10-16,HP,2,2,2,0,0,2328,0,0,74352,4.52,Low
2025-10-17,Lenovo,1,3,7,1,1,1878,1,0,170604,2.56,Medium
