date,supplier,region,transport,delay,weather,demand,inventory,traffic,port_delay,order_value,fuel_cost,risk
2025-01-01,Kuehne+Nagel,0,0,2,0,0,2832,0,1,127770,2.32,Low
2025-01-02,DP World,4,1,1,0,2,1762,0,1,62726,4.83,Low
2025-01-03,3M,1,3,1,0,1,4114,0,1,55043,5.41,Low
2025-01-04,UPS,2,2,1,0,2,4680,0,0,20142,5.25,Low
2025-01-05,Reliance Industries,0,0,1,0,1,1711,0,0,16832,4.91,Low
2025-01-06,Siemens,4,2,3,0,1,4905,0,0,198813,4.44,Low
2025-01-07,PepsiCo,0,1,10,1,2,2753,1,0,175576,4.48,Medium
2025-01-08,UPS,3,3,9,2,0,2429,1,0,95619,3.14,Medium
2025-01-09,Flex,1,2,2,0,2,3199,0,1,178081,3.59,Low
2025-01-10,DB Schenker,0,2,8,2,2,4502,1,1,127396,2.27,Medium
2025-01-11,Flex,0,3,3,0,2,2711,0,1,247270,5.21,Low
2025-01-12,Coca-Cola,2,3,1,0,0,1777,0,0,148666,3.89,Low
2025-01-13,Cisco,2,1,4,0,0,3019,0,1,63730,3.31,Low
2025-01-14,Bosch,4,0,4,0,1,2372,0,0,159725,3.86,Low
2025-01-15,Siemens,3,0,0,0,1,4703,0,1,114135,3.98,Low
2025-01-16,CEVA Logistics,2,3,0,0,2,3010,0,1,217590,2.2,Low
2025-01-17,UPS,1,1,0,0,1,4850,0,1,227211,2.92,Low
2025-01-18,Hitachi Transport,1,3,1,0,1,3987,0,0,144822,3.87,Low
2025-01-19,Cisco,2,2,3,0,2,3577,0,1,200109,3.61,Low
2025-01-20,Foxconn,1,1,10,1,2,2556,1,1,31821,5.4,Medium
2025-01-21,Cisco,4,1,3,0,1,2436,0,0,75323,2.56,Low
2025-01-22,Wipro,2,3,0,0,1,4237,0,1,62429,4.78,Low
2025-01-23,CEVA Logistics,2,2,2,0,1,3333,0,0,99923,4.88,Low
2025-01-24,Samsung SDS,3,0,0,0,1,4703,0,0,219402,4.68,Low
2025-01-25,XPO Logistics,3,0,4,0,0,4266,0,1,88250,4.14,Low
2025-01-26,HP,0,1,2,0,0,2751,0,0,73721,3.98,Low
2025-01-27,FedEx,0,3,0,0,1,1871,0,1,61168,2.83,Low
2025-01-28,Cisco,4,0,1,0,2,4687,0,0,228892,2.41,Low
2025-01-29,BASF,4,3,4,0,2,4003,0,1,208261,4.91,Low
2025-01-30,C.H. Robinson,3,2,2,0,1,3057,0,1,146217,2.09,Low
2025-01-31,PepsiCo,3,2,0,0,2,2482,0,0,182179,4.65,Low
2025-02-01,Lenovo,0,2,2,0,1,3857,0,0,65510,5.26,Low
2025-02-02,DP World,4,1,2,0,0,3171,0,0,148091,2.8,Low
2025-02-03,Hyundai Mobis,3,2,1,0,2,3932,0,1,206409,3.5,Low
2025-02-04,Hyundai Mobis,2,3,6,2,0,3491,1,0,119372,2.15,Medium
2025-02-05,Lenovo,2,2,10,2,1,873,1,0,84653,3.41,Medium
2025-02-06,DB Schenker,2,3,10,2,0,683,1,1,221878,4.1,Medium
2025-02-07,Ryder,2,2,6,1,0,333,1,0,91772,3.21,Medium
2025-02-08,Ryder,3,1,2,0,2,320,0,0,169782,3.82,Low
2025-02-09,Flex,4,0,2,0,0,834,0,1,112629,3.67,Low
2025-02-10,UPS,3,1,7,1,2,859,1,1,96488,3.76,Medium
2025-02-11,Foxconn,1,1,0,0,1,557,0,0,26526,3.75,Low
2025-02-12,LG Electronics,0,0,7,2,2,546,1,0,192026,3.38,Medium
2025-02-13,Foxconn,4,3,19,3,2,853,2,1,231619,4.65,High
2025-02-14,C.H. Robinson,0,1,0,0,1,677,0,1,73213,3.83,Low
2025-02-15,Kuehne+Nagel,1,0,20,3,2,568,2,1,97844,3.71,High
2025-02-16,Blue Dart,3,3,9,1,0,676,1,0,161354,4.07,Medium
2025-02-17,Blue Dart,1,2,11,3,2,779,2,1,116541,5.06,High
2025-02-18,Foxconn,2,2,18,3,0,977,2,1,94351,3.55,High
2025-02-19,Wipro,4,3,7,1,1,354,1,0,66443,3.99,Medium
2025-02-20,DP World,2,3,8,1,0,827,1,0,200118,4.78,Medium
2025-02-21,Dell,3,2,9,2,2,456,1,0,188529,2.05,Medium
2025-02-22,Foxconn,3,2,14,2,1,444,2,1,109277,3.07,High
2025-02-23,HP,3,3,7,1,2,922,1,1,39626,4.29,Medium
2025-02-24,Cisco,0,3,10,2,1,585,1,1,152812,3.13,Medium
2025-02-25,LG Electronics,4,0,12,2,0,306,2,1,238912,2.5,High
2025-02-26,Flex,4,3,5,2,1,457,1,1,76389,3.72,Medium
2025-02-27,Wipro,4,1,10,1,1,979,1,1,43327,5.46,Medium
